id,posicion,tank,tratamiento,poza,pool,puesta,clutch,repeticion,estadio,lcu,lco,lt,peso,fecha,medicion,medicion2,semana,dm,muerto,vivo
45,1,A,TEMP-2,20,C,3,C,1,39,12.36,20.97,33.22,0.37,20/03/2023,5,F,3,22,0,1
48,1,A,TEMP-2,20,C,3,C,1,39,12.18,20.44,32.68,0.38,20/03/2023,5,F,3,22,0,1
47,1,A,TEMP-2,20,C,3,C,1,39,12.53,19.86,32.1,0.4,20/03/2023,5,F,3,22,0,1
46,1,A,TEMP-2,20,C,3,C,1,39,12.44,20.86,33.66,0.4,20/03/2023,5,F,3,21,0,1
48,1,A,TEMP-2,20,C,3,C,1,38,11.1,19.86,31.42,0.37,16/03/2023,4,E,2,,0,1
45,1,A,TEMP-2,20,C,3,C,1,37,11.43,18.58,30.74,0.34,16/03/2023,4,E,2,,0,1
47,1,A,TEMP-2,20,C,3,C,1,38,11.74,18.28,30.12,0.33,16/03/2023,4,E,2,,0,1
46,1,A,TEMP-2,20,C,3,C,1,38,11.05,19.01,29.77,0.31,16/03/2023,4,E,2,,0,1
46,1,A,TEMP-2,20,C,3,C,1,37,11.07,16.76,27.92,0.26,12/03/2023,3,D,2,,0,1
47,1,A,TEMP-2,20,C,3,C,1,37,10.75,18.27,27.82,0.28,12/03/2023,3,D,2,,0,1
45,1,A,TEMP-2,20,C,3,C,1,37,10.84,16.8,27.29,0.23,12/03/2023,3,D,2,,0,1
48,1,A,TEMP-2,20,C,3,C,1,36,11.43,16.92,27.16,0.26,12/03/2023,3,D,2,,0,1
48,1,A,TEMP-2,20,C,3,C,1,34,10.18,15.12,24.78,0.2,08/03/2023,2,C,1,,0,1
46,1,A,TEMP-2,20,C,3,C,1,34,10.36,14.43,24.14,0.19,08/03/2023,2,C,1,,0,1
47,1,A,TEMP-2,20,C,3,C,1,34,9.49,13.41,23.7,0.18,08/03/2023,2,C,1,,0,1
45,1,A,TEMP-2,20,C,3,C,1,34,9.38,14.13,23.64,0.16,08/03/2023,2,C,1,,0,1
46,1,A,TEMP-2,20,C,3,C,1,31,8.16,12.5,20.77,0.11,04/03/2023,1,B,1,,0,1
48,1,A,TEMP-2,20,C,3,C,1,31,8.06,12.24,20.59,0.1,04/03/2023,1,B,1,,0,1
47,1,A,TEMP-2,20,C,3,C,1,31,8.04,11.55,19.49,0.11,04/03/2023,1,B,1,,0,1
45,1,A,TEMP-2,20,C,3,C,1,31,8.37,10.8,19.2,0.1,04/03/2023,1,B,1,,0,1
48,1,A,TEMP-2,20,C,3,C,1,27,5.27,9.98,16.2,0.05,28/02/2023,0,A,0,,0,1
46,1,A,TEMP-2,20,C,3,C,1,27,5.85,9.35,15.98,0.06,28/02/2023,0,A,0,,0,1
47,1,A,TEMP-2,20,C,3,C,1,27,5.78,8.6,15.58,0.05,28/02/2023,0,A,0,,0,1
45,1,A,TEMP-2,20,C,3,C,1,27,5.95,8.86,14.59,0.04,28/02/2023,0,A,0,,0,1
33,2,B,TEMP-3,9,A,1,A,1,37,11.8,17.82,29.3,0.31,12/03/2023,3,D,2,15,0,1
36,2,B,TEMP-3,9,A,1,A,1,37,11.17,17.1,27.89,0.28,12/03/2023,3,D,2,15,0,1
34,2,B,TEMP-3,9,A,1,A,1,37,11.85,16.62,28.82,0.31,12/03/2023,3,D,2,15,0,1
35,2,B,TEMP-3,9,A,1,A,1,37,10.85,18.81,30.5,0.31,12/03/2023,3,D,2,14,0,1
36,2,B,TEMP-3,9,A,1,A,1,36,11.36,17.1,28.77,0.29,08/03/2023,2,C,1,,0,1
34,2,B,TEMP-3,9,A,1,A,1,36,11.09,16.71,27.32,0.28,08/03/2023,2,C,1,,0,1
33,2,B,TEMP-3,9,A,1,A,1,36,10.74,15.78,26.52,0.28,08/03/2023,2,C,1,,0,1
35,2,B,TEMP-3,9,A,1,A,1,36,12.05,13.78,26.9,0.25,08/03/2023,2,C,1,,0,1
35,2,B,TEMP-3,9,A,1,A,1,31,9.13,13.22,21.5,0.14,04/03/2023,1,B,1,,0,1
36,2,B,TEMP-3,9,A,1,A,1,32,8.96,12.89,21.95,0.15,04/03/2023,1,B,1,,0,1
33,2,B,TEMP-3,9,A,1,A,1,31,9.03,11.93,21.02,0.13,04/03/2023,1,B,1,,0,1
34,2,B,TEMP-3,9,A,1,A,1,31,8.78,11.77,20.08,0.13,04/03/2023,1,B,1,,0,1
34,2,B,TEMP-3,9,A,1,A,1,27,6.4,8.66,14.98,0.04,28/02/2023,0,A,0,,0,1
33,2,B,TEMP-3,9,A,1,A,1,27,6.24,8.62,13.62,0.04,28/02/2023,0,A,0,,0,1
35,2,B,TEMP-3,9,A,1,A,1,27,6.33,8.39,14.91,0.04,28/02/2023,0,A,0,,0,1
36,2,B,TEMP-3,9,A,1,A,1,27,6.47,8.08,14.24,0.05,28/02/2023,0,A,0,,0,1
98,3,C,TEMP-2,11,B,2,B,4,39,13.31,20.99,34.3,0.37,24/03/2023,6,G,3,27,0,1
99,3,C,TEMP-2,11,B,2,B,4,39,12.33,21.18,33.51,0.42,24/03/2023,6,G,3,27,0,1
97,3,C,TEMP-2,11,B,2,B,4,40,12.14,21.49,34.13,0.41,24/03/2023,6,G,3,25,0,1
100,3,C,TEMP-2,11,B,2,B,4,40,13.03,20.93,33.96,0.47,24/03/2023,6,G,3,25,0,1
99,3,C,TEMP-2,11,B,2,B,4,39,12.97,20.59,33.56,0.44,20/03/2023,5,F,3,,0,1
100,3,C,TEMP-2,11,B,2,B,4,39,12.04,20.18,32.22,0.4,20/03/2023,5,F,3,,0,1
98,3,C,TEMP-2,11,B,2,B,4,38,12.96,19.2,31.99,0.38,20/03/2023,5,F,3,,0,1
97,3,C,TEMP-2,11,B,2,B,4,37,13.28,18.37,31.65,0.29,16/03/2023,4,E,2,,0,1
97,3,C,TEMP-2,11,B,2,B,4,38,12.46,19.14,31.45,0.36,20/03/2023,5,F,3,,0,1
98,3,C,TEMP-2,11,B,2,B,4,37,12.55,19.48,30.48,0.34,16/03/2023,4,E,2,,0,1
100,3,C,TEMP-2,11,B,2,B,4,35,10.51,18.16,28.53,0.28,12/03/2023,3,D,2,,0,1
98,3,C,TEMP-2,11,B,2,B,4,36,11.05,17.14,28.32,0.23,12/03/2023,3,D,2,,0,1
100,3,C,TEMP-2,11,B,2,B,4,37,11.55,17.02,28.05,0.27,16/03/2023,4,E,2,,0,1
99,3,C,TEMP-2,11,B,2,B,4,37,11.42,17.04,27.53,0.26,16/03/2023,4,E,2,,0,1
97,3,C,TEMP-2,11,B,2,B,4,35,10.17,19.45,26.84,0.24,12/03/2023,3,D,2,,0,1
99,3,C,TEMP-2,11,B,2,B,4,35,9.92,17.11,26.1,0.23,12/03/2023,3,D,2,,0,1
