id,sitio,fecha,refugios,tratamiento,individuo,edad,ubicacion,id2,hobotc,idhobo,hobota,hora,pipf,peso,peso_1,peso1,peso2,pesosuma,actividad,horarios,medicont,tiempo,exacta,variacion,perdida,restante,logperdida
1,Conservado,22/07/2019,Helechos,A,1,Juvenil,Juvenil interior,Juvenil 1,124,124CHJ1,558,21:30,PI,33.41,33.41,32.79,0.62,33.41,Alta,09:30 p. m. a 12:30 a. m.,A,A,A,-1.855731817,1.855731817,98.14426818,0.268515214
2,Conservado,22/07/2019,Helechos,A,1,Juvenil,Juvenil interior,Juvenil 1,124,124CHJ1,558,00:30,,32.79,33.41,32.47,0.94,33.41,Baja,12:30 a. m. a 04:30 a. m.,B,B,B,-2.813528884,2.813528884,97.18647112,0.449251378
3,Conservado,22/07/2019,Helechos,A,1,Juvenil,Juvenil interior,Juvenil 1,124,124CHJ1,558,04:30,,32.47,33.41,33.23,0.18,33.41,Baja,04:30 a. m. a 08:30 a. m.,C,C,C,-0.53876085,0.53876085,99.46123915,-0.268603971
4,Conservado,22/07/2019,Helechos,A,1,Juvenil,Juvenil interior,Juvenil 1,124,124CHJ1,558,08:30,,33.23,33.41,32.2,1.21,33.41,Alta,08:30 a. m. a 10:30 a. m.,D,D,D,-3.621670159,3.621670159,96.37832984,0.558908895
5,Conservado,22/07/2019,Helechos,A,1,Juvenil,Juvenil interior,Juvenil 1,124,124CHJ1,558,10:30,,32.2,33.41,32.4,1.01,33.41,Alta,10:30 a. m. a 12:30 p. m.,E,E,E,-3.023046992,3.023046992,96.97695301,0.480444898
6,Conservado,22/07/2019,Helechos,A,1,Juvenil,Juvenil interior,Juvenil 1,124,124CHJ1,558,12:30,,32.4,33.41,32.23,1.18,33.41,Baja,12:30 p. m. a 03:30 p. m.,F,F,F,-3.531876684,3.531876684,96.46812332,0.548005532
7,Conservado,22/07/2019,Helechos,A,1,Juvenil,Juvenil interior,Juvenil 1,124,124CHJ1,558,15:30,,32.23,33.41,32.04,1.37,33.41,Baja,03:30 p. m. a 06:30 p. m.,G,G,G,-4.100568692,4.100568692,95.89943131,0.612844092
8,Conservado,22/07/2019,Helechos,A,1,Juvenil,Juvenil interior,Juvenil 1,124,124CHJ1,558,18:30,,32.04,33.41,32.77,0.64,33.41,Alta,06:30 p. m. a 09:30 p. m.,H,H,H,-1.915594133,1.915594133,98.08440587,0.282303498
10,Conservado,22/07/2019,Helechos,A,2,Adulto,Adulto interior,Adulto 1,124,124CHA1,558,21:30,PI,128.5,128.5,128.01,0.49,128.5,Alta,09:30 p. m. a 12:30 a. m.,A,A,A,-0.381322957,0.381322957,99.61867704,-0.418707048
11,Conservado,22/07/2019,Helechos,A,2,Adulto,Adulto interior,Adulto 1,124,124CHA1,558,00:30,,128.01,128.5,126.72,1.78,128.5,Baja,12:30 a. m. a 04:30 a. m.,B,B,B,-1.385214008,1.385214008,98.61478599,0.141516875
