id,posicion,tank,tratamiento,pool,clutch,medicion,medicion2,muerto,vivo,sum
2,7,G,TEMP-1,A,A,0,A,0,4,4
118,8,H,TEMP-1,B,B,0,A,0,4,4
63,9,I,TEMP-1,C,C,0,A,0,4,4
79,16,P,TEMP-1,C,C,0,A,0,4,4
9,17,Q,TEMP-1,A,A,0,A,0,4,4
142,18,R,TEMP-1,B,B,0,A,0,4,4
112,25,Y,TEMP-1,B,B,0,A,0,4,4
70,26,Z,TEMP-1,C,C,0,A,0,4,4
20,27,AA,TEMP-1,A,A,0,A,0,4,4
86,34,HH,TEMP-1,C,C,0,A,0,4,4
28,35,II,TEMP-1,A,A,0,A,0,4,4
103,36,JJ,TEMP-1,B,B,0,A,0,4,4
45,1,A,TEMP-2,C,C,0,A,0,4,4
100,3,C,TEMP-2,B,B,0,A,0,4,4
68,4,D,TEMP-2,A,A,0,A,0,4,4
41,10,J,TEMP-2,A,A,0,A,0,4,4
129,13,M,TEMP-2,B,B,0,A,0,4,4
13,15,O,TEMP-2,C,C,0,A,0,4,4
49,20,T,TEMP-2,A,A,0,A,0,4,4
32,22,V,TEMP-2,C,C,0,A,0,4,4
134,23,W,TEMP-2,B,B,0,A,0,4,4
123,28,BB,TEMP-2,B,B,0,A,0,4,4
94,29,CC,TEMP-2,C,C,0,A,0,4,4
81,32,FF,TEMP-2,A,A,0,A,0,4,4
34,2,B,TEMP-3,A,A,0,A,0,4,4
22,5,E,TEMP-3,C,C,0,A,0,4,4
138,6,F,TEMP-3,B,B,0,A,0,4,4
108,11,K,TEMP-3,B,B,0,A,0,4,4
40,12,L,TEMP-3,C,C,0,A,0,4,4
75,14,N,TEMP-3,A,A,0,A,0,4,4
55,19,S,TEMP-3,C,C,0,A,0,4,4
113,21,U,TEMP-3,B,B,0,A,0,4,4
90,24,X,TEMP-3,A,A,0,A,0,4,4
58,30,DD,TEMP-3,A,A,0,A,0,4,4
125,31,EE,TEMP-3,B,B,0,A,0,4,4
5,33,GG,TEMP-3,C,C,0,A,0,4,4
1,7,G,TEMP-1,A,A,1,B,0,4,4
119,8,H,TEMP-1,B,B,1,B,0,4,4
63,9,I,TEMP-1,C,C,1,B,0,4,4
80,16,P,TEMP-1,C,C,1,B,0,4,4
11,17,Q,TEMP-1,A,A,1,B,0,4,4
141,18,R,TEMP-1,B,B,1,B,0,4,4
111,25,Y,TEMP-1,B,B,1,B,0,4,4
71,26,Z,TEMP-1,C,C,1,B,0,4,4
17,27,AA,TEMP-1,A,A,1,B,0,4,4
88,34,HH,TEMP-1,C,C,1,B,0,4,4
27,35,II,TEMP-1,A,A,1,B,0,4,4
104,36,JJ,TEMP-1,B,B,1,B,0,4,4
46,1,A,TEMP-2,C,C,1,B,0,4,4
97,3,C,TEMP-2,B,B,1,B,0,4,4
